Country,Asset Management,Construction Education,Construction Planning and Control ,Construction Site Management,Design,Legal and Compliance Management ,Risk Management,Robotics,Safety,Smart Buildings,Stakeholder Management
Australia,0,0,0,0,1,0,0,0,1,0,0
Canada,0,0,1,0,1,0,0,0,2,0,0
China,1,1,2,2,3,8,0,1,2,5,1
Denmark,0,0,0,1,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,1,0,0,0,0
Germany,0,1,0,0,0,0,0,0,0,1,1
Hong Kong,0,0,2,0,0,1,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,1,0,1
Italy,0,0,0,0,0,0,0,0,1,0,0
Japan,1,0,0,0,0,0,1,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,1,0,0
Portugal,0,0,0,0,0,0,0,0,1,0,0
Saudi Arabia,0,1,0,0,0,0,0,0,0,0,1
Singapore,0,0,0,1,0,0,0,1,0,0,0
South Korea,0,0,1,0,1,2,1,0,8,0,0
Taiwan,0,0,0,0,0,1,0,0,1,0,0
Turkey,0,0,0,0,0,0,1,0,0,0,0
UAE,0,0,1,0,0,0,1,0,0,0,0
UK,1,1,0,0,0,2,0,0,0,1,0
USA,0,3,8,1,3,5,2,4,9,4,3
