Authors,Author full names,Author(s) ID,Title,DOI,Link,source_file
"H., Xiao, Hongru; J., Zhuang, Jiankun; B., Yang, Bin; J., Han, Jiale; Y., Yu, Yantao; S., Lai, Songning","Xiao, Hongru (59147861100); Zhuang, Jiankun (60004742900); Yang, Bin (55584795282); Han, Jiale (57219554169); Yu, Yantao (57192163569); Lai, Songning (58064189700)",59147861100; 60004742900; 55584795282; 57219554169; 57192163569; 58064189700,Generative knowledge-guided review system for construction disclosure documents,10.1016/j.aei.2025.103618,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.aei.2025.103618&partnerID=40&md5=b6ba47e54f81c3b74c558729944b8352,1
"G., Zhang, Guozong; C., Lu, Chenyuan; Q., Luo, Qianmai","Zhang, Guozong (57486212700); Lu, Chenyuan (59937918100); Luo, Qianmai (57486419900)",57486212700; 59937918100; 57486419900,"Application of Large Language Models in the AECO Industry: Core Technologies, Application Scenarios, and Research Challenges",10.3390/buildings15111944,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.3390%2Fbuildings15111944&partnerID=40&md5=57a9444fd79dec8b7e3480661a9562b7,1
"X., Yang, Xiaoxia; J., Yang, Jianxi; R., Li, Ren; H., Li, Hao; Q., Xiao, Qiao; S., Jiang, Shixin","Yang, Xiaoxia (57407775500); Yang, Jianxi (35194801900); Li, Ren (55341427500); Li, Hao (57847839400); Xiao, Qiao (58149415300); Jiang, Shixin (59942329800)",57407775500; 35194801900; 55341427500; 57847839400; 58149415300; 59942329800,MKGM: Multimodal knowledge-guided joint recognition of bridge defect-structural information,10.1016/j.aei.2025.103674,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.aei.2025.103674&partnerID=40&md5=d4cfd19f7f0a863755e143aff102a13b,4
"R., Cai, Ruying; J., Li, Jingru; Y., Tan, Yi; J., Tang, Jingyuan; X., Chen, Xiangsheng","Cai, Ruying (57227610300); Li, Jingru (26660256200); Tan, Yi (57193550394); Tang, Jingyuan (57218245814); Chen, Xiangsheng (55191034700)",57227610300; 26660256200; 57193550394; 57218245814; 55191034700,Convolutional neural networks for construction safety: A technical review of computer vision applications,10.1016/j.asoc.2025.113374,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.asoc.2025.113374&partnerID=40&md5=36f9add839639096a47efb85c32fe698,4
"D., Liu, Delong; P., Wang, Peng; Z., Zhao, Zhicheng; F., Su, Fei","Liu, Delong (57999256400); Wang, Peng (59343801700); Zhao, Zhicheng (56029227100); Su, Fei (35235327500)",57999256400; 59343801700; 56029227100; 35235327500,Automated text annotation: a new paradigm for generalizable text-to-image person retrieval,10.1007/s10489-025-06487-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1007%2Fs10489-025-06487-1&partnerID=40&md5=19a561792f487b55102f9951c32ad317,4
"I.F., Ahmed, Ibrahim Fouad; M., Alheyf, Mohammed; A., Ali, Ahmed; M.S., Yamany, Mohamed S.","Ahmed, Ibrahim Fouad (57475674400); Alheyf, Mohammed (57665775700); Ali, Ahmed (59898777600); Yamany, Mohamed S. (57211777008)",57475674400; 57665775700; 59898777600; 57211777008,Manholes Detecting and Mapping Using Open-World Object Detection and GIS Integration,10.28991/CEJ-2025-011-04-07,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.28991%2FCEJ-2025-011-04-07&partnerID=40&md5=be2598f480668dc97c55c74bb8bae4ba,4
"X., Chen, Xuefeng; Y., Lei, Yaguo; Y., Li, Yanfu; S., Parkinson, Simon; X., Li, Xiang; J., Liu, Jinxin; F., Lu, Fan; H., Wang, Huan; Z., Wang, Zisheng; B., Yang, Bin","Chen, Xuefeng (57205480544); Lei, Yaguo (8905846900); Li, Yanfu (56609542700); Parkinson, Simon (24829532500); Li, Xiang (56084233300); Liu, Jinxin (55676527800); Lu, Fan (59982202400); Wang, Huan (59956035900); Wang, Zisheng (57224999622); Yang, Bin (57188588433)",57205480544; 8905846900; 56609542700; 24829532500; 56084233300; 55676527800; 59982202400; 59956035900; 57224999622; 57188588433,"Large Models for Machine Monitoring and Fault Diagnostics: Opportunities, Challenges, and Future Direction",10.37965/jdmd.2025.832,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.37965%2Fjdmd.2025.832&partnerID=40&md5=7adcec9a568a1bb7e439b34d471ea0a7,2
"W., Seo, Wonkyoung; Y., Kang, Youngcheol","Seo, Wonkyoung (57209794451); Kang, Youngcheol (55914771400)",57209794451; 55914771400,Auto-summarization of the texts of construction dispute precedents,10.1016/j.aei.2025.103381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.aei.2025.103381&partnerID=40&md5=95c9bcdfe3675671ea47c7d778fccc49,2
"Q., Wu, Quanquan","Wu, Quanquan (57960208400)",57960208400,Design of Intelligent Q&A System Based on Knowledge Graph Combined with Large Language Model,10.1016/j.procs.2025.05.061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.procs.2025.05.061&partnerID=40&md5=a38212e4d5a103711e7949f2925537c6,2
"Y., Shang, Yuqing; Z., Ke, Zhijiang; P., Lin, Peng; Q., Ren, Qianhui; W., Zhang, Wenshan; X., Wang, Xiongwu; X., Li, Xiaotao; F., Gong, Fuyuan; S., Wang, Shiqi; B., Wang, Baofa","Shang, Yuqing (59956190200); Ke, Zhijiang (59956721900); Lin, Peng (36189833900); Ren, Qianhui (59956512100); Zhang, Wenshan (59956190300); Wang, Xiongwu (59956190400); Li, Xiaotao (59956404900); Gong, Fuyuan (55602111300); Wang, Shiqi (59956512200); Wang, Baofa (59956088300)",59956190200; 59956721900; 36189833900; 59956512100; 59956190300; 59956190400; 59956404900; 55602111300; 59956512200; 59956088300,Empowering knowledge graphs with hybrid retrieval-augmented generation for the intelligent mix scheme of mass concrete,10.1016/j.cscm.2025.e04979,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.cscm.2025.e04979&partnerID=40&md5=bdd77739a1095d214ade8c9e7350bcea,3
"H., Xiao, Hongru; J., Zhuang, Jiankun; B., Yang, Bin; J., Han, Jiale; Y., Yu, Yantao; S., Lai, Songning","Xiao, Hongru (59147861100); Zhuang, Jiankun (60004742900); Yang, Bin (55584795282); Han, Jiale (57219554169); Yu, Yantao (57192163569); Lai, Songning (58064189700)",59147861100; 60004742900; 55584795282; 57219554169; 57192163569; 58064189700,Generative knowledge-guided review system for construction disclosure documents,10.1016/j.aei.2025.103618,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.aei.2025.103618&partnerID=40&md5=b6ba47e54f81c3b74c558729944b8352,3
"S., Baek, Seungwon; C., Park, Chan-young; W., Jung, Wooyong","Baek, Seungwon (57193333158); Park, Chan-young (59073534100); Jung, Wooyong (36634401400)",57193333158; 59073534100; 36634401400,Automated safety risk management guidance enhanced by retrieval-augmented large language model,10.1016/j.autcon.2025.106255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.autcon.2025.106255&partnerID=40&md5=7ca2ef96a4572bcda2ca1f5451858068,3
"S., Rothfarb, Samuel; M., Friday, Mikayla; X., Wang, Xingyu; A.E., Zaghi, Arash Esmaili; B., Li, Baikun","Rothfarb, Samuel (58559247000); Friday, Mikayla (59318105800); Wang, Xingyu (57195992007); Zaghi, Arash Esmaili (36553563800); Li, Baikun (17343971400)",58559247000; 59318105800; 57195992007; 36553563800; 17343971400,Multi-agent large language model frameworks: Unlocking new possibilities for optimizing wastewater treatment operation,10.1016/j.envres.2025.121401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.envres.2025.121401&partnerID=40&md5=c659df3fea7cb698eb00eb54ae951290,3
"C.F., Chan, Chak Fu; P.K.Y., Wong, Peter Kok Yiu; X., Guo, Xiaowen; J.C.P., Cheng, Jack Chin Pang; J.P.C., Chan, Jolly P.C.; P.H., Leung, Pak Him; X., Tao, Xingyu","Chan, Chak Fu (59921963100); Wong, Peter Kok Yiu (57210803584); Guo, Xiaowen (59156808100); Cheng, Jack Chin Pang (59409633600); Chan, Jolly P.C. (59465923300); Leung, Pak Him (57225984268); Tao, Xingyu (57218246165)",59921963100; 57210803584; 59156808100; 59409633600; 59465923300; 57225984268; 57218246165,Context-aware vision-language model agent enriched with domain-specific ontology for construction site safety monitoring,10.1016/j.autcon.2025.106305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.autcon.2025.106305&partnerID=40&md5=ba6368864626056a9514c5d73f7587ca,6
